# r-coordinate 	 ur 	 utheta
5.84926e+02 	 -1.00091e-04 	 -9.21684e-07
5.88601e+02 	 -9.76369e-05 	 -9.06616e-07
5.92299e+02 	 -9.52317e-05 	 -8.91715e-07
5.96021e+02 	 -9.28747e-05 	 -8.76980e-07
5.99766e+02 	 -9.05651e-05 	 -8.62408e-07
6.03534e+02 	 -8.83019e-05 	 -8.47996e-07
6.07326e+02 	 -8.60844e-05 	 -8.33742e-07
6.11142e+02 	 -8.39118e-05 	 -8.19646e-07
6.14982e+02 	 -8.17833e-05 	 -8.05704e-07
6.18846e+02 	 -7.96981e-05 	 -7.91914e-07
6.22735e+02 	 -7.76554e-05 	 -7.78276e-07
6.26647e+02 	 -7.56546e-05 	 -7.64788e-07
6.30585e+02 	 -7.36948e-05 	 -7.51448e-07
6.34547e+02 	 -7.17754e-05 	 -7.38255e-07
6.38534e+02 	 -6.98957e-05 	 -7.25207e-07
6.42546e+02 	 -6.80549e-05 	 -7.12305e-07
6.46583e+02 	 -6.62525e-05 	 -6.99545e-07
6.50646e+02 	 -6.44877e-05 	 -6.86929e-07
6.54734e+02 	 -6.27599e-05 	 -6.74454e-07
6.58848e+02 	 -6.10685e-05 	 -6.62120e-07
6.62987e+02 	 -5.94129e-05 	 -6.49926e-07
6.67153e+02 	 -5.77923e-05 	 -6.37872e-07
6.71345e+02 	 -5.62064e-05 	 -6.25957e-07
6.75563e+02 	 -5.46543e-05 	 -6.14181e-07
6.79808e+02 	 -5.31357e-05 	 -6.02543e-07
6.84079e+02 	 -5.16498e-05 	 -5.91043e-07
6.88377e+02 	 -5.01962e-05 	 -5.79681e-07
6.92702e+02 	 -4.87743e-05 	 -5.68456e-07
6.97055e+02 	 -4.73836e-05 	 -5.57369e-07
7.01434e+02 	 -4.60235e-05 	 -5.46418e-07
7.05842e+02 	 -4.46935e-05 	 -5.35605e-07
7.10277e+02 	 -4.33931e-05 	 -5.24930e-07
7.14739e+02 	 -4.21219e-05 	 -5.14391e-07
7.19230e+02 	 -4.08792e-05 	 -5.03990e-07
7.23749e+02 	 -3.96647e-05 	 -4.93726e-07
7.28297e+02 	 -3.84779e-05 	 -4.83600e-07
7.32873e+02 	 -3.73183e-05 	 -4.73612e-07
7.37478e+02 	 -3.61853e-05 	 -4.63762e-07
7.42111e+02 	 -3.50787e-05 	 -4.54050e-07
7.46774e+02 	 -3.39979e-05 	 -4.44476e-07
7.51466e+02 	 -3.29425e-05 	 -4.35041e-07
7.56188e+02 	 -3.19121e-05 	 -4.25746e-07
7.60939e+02 	 -3.09062e-05 	 -4.16589e-07
7.65720e+02 	 -2.99244e-05 	 -4.07571e-07
7.70531e+02 	 -2.89663e-05 	 -3.98694e-07
7.75373e+02 	 -2.80316e-05 	 -3.89956e-07
7.80245e+02 	 -2.71197e-05 	 -3.81359e-07
7.85147e+02 	 -2.62303e-05 	 -3.72902e-07
7.90080e+02 	 -2.53631e-05 	 -3.64585e-07
7.95044e+02 	 -2.45176e-05 	 -3.56409e-07
8.00040e+02 	 -2.36934e-05 	 -3.48375e-07
8.05067e+02 	 -2.28902e-05 	 -3.40481e-07
8.10125e+02 	 -2.21076e-05 	 -3.32728e-07
8.15215e+02 	 -2.13453e-05 	 -3.25116e-07
8.20337e+02 	 -2.06028e-05 	 -3.17646e-07
8.25492e+02 	 -1.98799e-05 	 -3.10316e-07
8.30678e+02 	 -1.91762e-05 	 -3.03127e-07
8.35898e+02 	 -1.84912e-05 	 -2.96079e-07
8.41150e+02 	 -1.78248e-05 	 -2.89171e-07
8.46435e+02 	 -1.71765e-05 	 -2.82404e-07
8.51753e+02 	 -1.65460e-05 	 -2.75776e-07
8.57105e+02 	 -1.59331e-05 	 -2.69287e-07
8.62490e+02 	 -1.53372e-05 	 -2.62937e-07
8.67910e+02 	 -1.47582e-05 	 -2.56726e-07
8.73363e+02 	 -1.41957e-05 	 -2.50651e-07
8.78850e+02 	 -1.36494e-05 	 -2.44714e-07
8.84372e+02 	 -1.31190e-05 	 -2.38912e-07
8.89929e+02 	 -1.26042e-05 	 -2.33245e-07
8.95521e+02 	 -1.21046e-05 	 -2.27712e-07
9.01147e+02 	 -1.16200e-05 	 -2.22312e-07
9.06809e+02 	 -1.11501e-05 	 -2.17043e-07
9.12507e+02 	 -1.06945e-05 	 -2.11904e-07
9.18240e+02 	 -1.02530e-05 	 -2.06893e-07
9.24010e+02 	 -9.82522e-06 	 -2.02010e-07
9.29816e+02 	 -9.41097e-06 	 -1.97253e-07
9.35658e+02 	 -9.00993e-06 	 -1.92619e-07
9.41537e+02 	 -8.62182e-06 	 -1.88107e-07
9.47453e+02 	 -8.24635e-06 	 -1.83714e-07
9.53406e+02 	 -7.88324e-06 	 -1.79440e-07
9.59396e+02 	 -7.53223e-06 	 -1.75281e-07
9.65424e+02 	 -7.19305e-06 	 -1.71236e-07
9.71490e+02 	 -6.86542e-06 	 -1.67302e-07
9.77594e+02 	 -6.54908e-06 	 -1.63476e-07
9.83736e+02 	 -6.24377e-06 	 -1.59757e-07
9.89917e+02 	 -5.94924e-06 	 -1.56141e-07
9.96137e+02 	 -5.66521e-06 	 -1.52626e-07
1.00240e+03 	 -5.39145e-06 	 -1.49208e-07
1.00869e+03 	 -5.12769e-06 	 -1.45886e-07
1.01503e+03 	 -4.87370e-06 	 -1.42655e-07
1.02141e+03 	 -4.62923e-06 	 -1.39514e-07
1.02783e+03 	 -4.39403e-06 	 -1.36458e-07
1.03429e+03 	 -4.16787e-06 	 -1.33485e-07
1.04078e+03 	 -3.95051e-06 	 -1.30591e-07
1.04732e+03 	 -3.74172e-06 	 -1.27774e-07
1.05390e+03 	 -3.54127e-06 	 -1.25030e-07
1.06053e+03 	 -3.34893e-06 	 -1.22355e-07
1.06719e+03 	 -3.16449e-06 	 -1.19746e-07
1.07389e+03 	 -2.98771e-06 	 -1.17200e-07
1.08064e+03 	 -2.81839e-06 	 -1.14714e-07
1.08743e+03 	 -2.65631e-06 	 -1.12283e-07
